,Question,Right,Wrong
801,What is health?,Being free from illness or injury,Eating lots of candy
802,What is fitness?,Being physically active and strong,Sitting on the couch all day
803,What is exercise?,Physical activity that keeps you healthy and strong,Eating cookies all day
804,What are some examples of exercise?,"Running, jumping jacks, pushups","Watching TV, playing video games, eating candy"
805,Why is it important to exercise?,To stay healthy and strong,To be lazy and sit on the couch all the time
806,What foods are healthy?,"Fruits, vegetables, whole grains","Donuts, candy, pizza"
807,What is water?,Clear liquid that people drink,"Soda, juice, milk"
808,Why is drinking water important?,To stay hydrated and healthy,To eat junk food all day
809,How much water should you drink?,6-8 cups a day,"None, I don't like water"
810,What should you do to stay healthy?,"Exercise, eat healthy food, get enough sleep","Watch TV all day, eat candy, stay up all night"
811,What is a healthy lunch?,A sandwich with vegetables and fruit,A pizza with extra cheese and pepperoni
812,What should you do before exercising?,Warm up by doing stretches and jogging,Sit down and take a nap
813,What is a muscle?,A part of your body that helps you move and be strong,A type of vegetable
814,What is a bone?,A hard part inside your body that helps you stand and move,A type of fruit
815,Why is sleep important?,It helps your body rest and be ready for the next day,Sleeping all day is a waste of time
816,What is a good way to relax?,"Take a deep breath, listen to calm music","Watch a scary movie, get into a fight"
817,Why is hand-washing important?,To keep germs away and stay healthy,To make your hands smell good
818,What are some ways to be active besides exercise?,"Playing outside, dancing, swimming","Sitting on the couch, watching TV, eating junk food"
819,Why is eating fruits and vegetables important?,They have vitamins and minerals that make your body healthy,They taste bad
820,What should you do if you get injured?,Rest and take care of the injury,Keep exercising even if it hurts
821,What is the most important meal of the day?,Breakfast,Dinner
822,What is the environment?,Everything that surrounds us.,A type of food.
823,What is climate?,The long-term pattern of weather in a particular area.,A type of animal.
824,What is recycling?,Turning old items into new things.,Throwing everything in the trash.
825,What is pollution?,Harmful substances that contaminate the environment.,Something that helps the environment.
826,Why is it important to save water?,Because we need it to survive and there is a limited amount available.,Because water is not necessary for life.
827,What is a greenhouse?,A building made of glass or plastic to grow plants in.,A building where people live.
828,What is a solar panel?,A device that collects energy from the sun to create electricity.,A device that collects rainwater.
829,Why is it important to plant trees?,Because they give us oxygen and clean the air.,Because they are fun to climb.
830,What is composting?,Turning food and other organic materials into nutrient-rich soil.,Turning food into plastic.
831,What is a carbon footprint?,The amount of carbon dioxide and other greenhouse gases you produce.,The mark your foot leaves in the ground.
832,What is deforestation?,When trees are cut down and removed from an area.,When trees are planted in an area.
833,What is a drought?,A period of time with very little to no rain.,A period of time with extreme flooding.
834,What is erosion?,When soil is washed away by water or wind.,When soil grows new plants.
